Société qui factire la location ;Site commercial;Ing Commercial financé;Client;SIRET client;Nom client;Avenant;Commentaire;Date effet;Fin validité;Période Fac;Nb loyers;Somme de Mt financé € HT ;Somme de Mt Loyer intercaoaire HT et /ou 49 € de frais de dossier;Somme de Loyer client € HT 
;;;GARNE3824;33117987900019;GARNERO ATELIER ARTS GRAPHIQUES;CTR-037128/0001;"CANON IR C7565i NS WFR00841 + Accessoires
";01/04/2017;30/06/2022;Trimestrielle;21;20000;0;1194
;;;GIRARD7650;572621712;ENTREPRISE A.GIRARD;CTR-029413/0001;"CANON IR ADVANCE C5045I - NS : GPV68862_x000D_
AGENCE D'AIX";08/11/2012;31/12/2015;Trimestrielle;12;7839,82;463,11;789
;;;;;;CTR-034076/0001;"CANON IRA C2220i - NS LYK18236_x000D_
";19/05/2015;30/06/2019;Trimestrielle;16;2332,36;90,73;192
;;;GIRARD7651;572621712;ENTREPRISE A.GIRARD;CTR-036105/0001;IR ADVANCE C5250 - NS JMN43145;01/10/2016;30/09/2019;Trimestrielle;12;6361,4;0;621
;;;GMT0864;48166504000020;GMT;CTR-039307/0001;SHARP MX-3070NEU NS 7511803Y - 75081179;01/04/2018;31/03/2023;Trimestrielle;20;7386,36;0;468
;;;GRANDE2078;662620079;GRAND DELTA HABITAT;CTR-033553/0001;"SHARP MX-7500NSF - NS 45047784_x000D_
votre référence n° 844_x000D_
";28/01/2015;31/03/2020;Trimestrielle;20;30622,32;1302;1860
;;;;;;CTR-033553/0002;"Module Perforation_x000D_
";01/01/2016;31/03/2020;Trimestrielle;17;1300;0;90,42
;;;;;;CTR-033554/0001;"Solution Logiciel PAPERCUT_x000D_
votre référence n° 845_x000D_
";28/01/2015;31/03/2020;Trimestrielle;20;8890,35;378;540
;;;;;;CTR-033554/0002;"Solution Logiciel PAPERCUT_x000D_
450 UTILISATEURS _x000D_
";01/07/2015;31/03/2020;Trimestrielle;19;3937,44;0;249,5
;;;;;;CTR-033851/0001;"SHARP MX-3140NSF - NS 58000342 - _x000D_
NS 58000332 _x000D_
votre référence n° 844_x000D_
";16/03/2015;31/03/2020;Trimestrielle;20;8986,45;93,16;524
;;;;;;CTR-034588/0001;"SHARP MX-3140NSF - NS 58002792_x000D_
";02/09/2015;30/09/2020;Trimestrielle;20;4287,43;78,8;250
;;;;;;CTR-034021/0001;"LEXMARK XC2132 x 20_x000D_
";10/03/2015;31/03/2020;Trimestrielle;20;23666,6;337,33;1380
;;;GUILLE3129;34282146900034;PIERRE GUILLEMET ARCHITECTE;CTR-036678/0001;"CANON IR C5030i NS GNM98340
";01/01/2017;31/03/2022;Trimestrielle;21;3152,34;0;210
;;;HRTEAM9410;48452962300080;SOCIETE HR TEAM;CTR-030481/0001;"MULTIFONCTION SHARP MX-3111USF - NS : 25082282_x000D_
SITE DE PARIS";01/04/2013;30/06/2018;Trimestrielle;21;10909;0;694
;;;;;;CTR-031801/0001;IR ADVANCE C2225I - NS LYE17115;01/04/2014;30/06/2019;Trimestrielle;21;7457,25;0;462
;;;;;;CTR-036837/0001;"CANON IR C250i - NS QNW41004
";01/01/2017;31/12/2021;Trimestrielle;20;3907,31;0;258
;;;;;;CTR-037539/0001;"CANON IMAGE Runner 2530i NS RNV48263 Marseille + Accessoires + CANON IR C5235i NS JWF40828 Les Angles
";01/07/2017;30/06/2022;Trimestrielle;20;10438,75;0;672
;;;IMAGE3007;44284491600019;IMAGE 3007;CTR-031687/0001;CANON IR ADVANCE C5235I - NS JWF40229;03/02/2014;30/06/2019;Trimestrielle;21;7956,57;359,97;491
;;;IMEDVI5138;268403383;INSTITUT L'ALIZARINE;CTR-032449/0001; ;01/10/2014;30/09/2019;Trimestrielle;20;11557,19;0;744
;;;JHBA9595;30227794200082;JHBA - CONCESSION NISSAN TRUCKS;CTR-031388/0001;MULTIFONCTION SHARP MX-3114NSF - NS 35045461;01/01/2014;31/12/2018;Trimestrielle;20;6034,87;49;402
;;;LYCEE7251;198400053;LYCEE ROBERT SCHUMAN;CTR-036425/0001;"SHARP MX-4050NEU  NS 650870030 + SHARP MX-M464NSF NS 650064240 + SHARP MX-M364NSF NS 650075970
";20/10/2016;31/12/2021;Trimestrielle;20;10701,34;515,76;650
;;;LYCGIR5496;19840005300015;LYCEE PHILIPPE DE GIRARD;CTR-035658/0001;"SHARP MX-4140NSF - NS 65015981_x000D_
";22/04/2016;30/06/2021;Trimestrielle;20;5321,72;253,85;330
;;;MAIROC6900;213002173;MAIRIE DE ROCHEFORT DU GARD;CTR-033834/0001;"ZEENDOC GED_x000D_
";01/04/2015;30/06/2020;Trimestrielle;21;13125,91;0;810
;;;;;;CTR-035768/0001;"CANON IR C3320I - NS QTT14390 + Accessoires_x000D_
";12/05/2016;30/09/2021;Trimestrielle;21;3417,08;112,09;204
;;;OGEC4162;77595657600018;OGEC SANCTA MARIA;CTR-033777/0001;"SHARP MX-4140NSF - NS 45129460_x000D_
MX-M465NSF - NS 45008710 - NS 45021760 _x000D_
";01/04/2015;30/06/2020;Trimestrielle;21;72658,96;0;4100
;;;PALGA2727;32729617400029;PALGA SA INTERNATIONAL;CTR-034125/0001;"SHARP MX-4141NSF - NS 550172020_x000D_
Gestion documentaire SHARP DESK_x000D_
";01/07/2015;30/06/2020;Trimestrielle;20;15771,65;0;978
;;;POLMAL8936;31528145100114;POLYCLINIQUE MUTUALISTE MALARTIC;CTR-034133/0001;"Parc matériels d'Impression selon _x000D_
annexe CAPEA du 22/04/2015";01/07/2015;30/09/2020;Trimestrielle;21;39377,69;0;2222
;;;;;;CTR-034133/0002;"Module de finition agrafage MX-2640N _x000D_
Service Couloir Direction Rde";01/07/2015;30/09/2020;Trimestrielle;21;2551,92;0;144
;;;;;;CTR-034133/0003;"Lexmark M1140 - NS 45146PLM306Y9 /45146PLM3070M /45145PLM2PP21 /45146PLM2ZCV5 /45145PLM2CBHB_x000D_
LexmarK M3150 - NS 45146PHH302ZH - Lexmark XM1140 - NS 70155PLM10FYP /70155PLM113ZG /70155PLM113ZK_x000D_
Selon annexe 2 du 18/04/2016 ";01/07/2016;30/09/2020;Trimestrielle;17;6941,35;0;469,5
;;;;;;CTR-034133/0004;"Lexmark Laser M1140+ BSD NS S45147PLM3WKRD-YMY6-YV8X-YV9H-YV9T + Accessoires + Lexmark Laser XM1140 NS S70156PLM1CPTX-5CBL-CDY6-5CD0-S40157PLM1GHYP + Accessoires
";01/10/2017;30/09/2020;Trimestrielle;12;6743,47;0;622
;;;PONT8070;47927576000011;SUR LE PONT COMMUNICATION;CTR-036106/0001;CANON IR ADVANCE C5235 - NS WRG27609 + Accessoires;01/08/2016;30/09/2021;Trimestrielle;20;5906,4;258,59;390
;;;SCHUMA7252;19840042600013;LYCEE PROFESSIONNEL R. SCHUMAN;CTR-035238/0001;"SHARP MX-M282N - NS 05029387
Bon de Commande n° LP 71
";01/04/2016;31/03/2021;Trimestrielle;20;2613,1;0;180
;;;SOCOVI3671;38343819900028;SAS SOCOVI;CTR-034701/0001;"SHARP MX-3114NSF - NS 3518245300 _x000D_
SHARP MX-C250F - NS 5300797500 - 5300774700 _x000D_
SHARP MX-B201DNFSF - NS 58000334 - 58007359 - 58000254 - 38008988 - 38000799_x000D_
_x000D_
";01/01/2016;31/12/2020;Trimestrielle;20;21612,09;0;1360
;;;SPIP3860;17130120300120;MINISTERE DE LA JUSTICE ET LIBERTES;CTR-035185/0001;"CANON IRA C2220i - NS LYK23170 + Accessoires_x000D_
EJ 2200994021";15/01/2016;31/03/2021;Trimestrielle;20;5452,06;304,62;360
;;;SUDREM9156;45150140700014;SUD REMORQUES;CTR-036320/0001;"SHARP MX-2614NSF - NS 650137120 + Accessoires
";01/10/2016;31/12/2021;Trimestrielle;21;8653,38;0;534
;;;TECELY7340;53524571600019;SPL TECELYS ;CTR-035657/0001;"SHARP MX-4070NEU - NS 6509239100 + accessoires_x000D_
";21/04/2016;30/06/2020;Trimestrielle;16;5825,24;341,74;438
;;;;;;CTR-035657/0002;"LexmarK XM1242 NS 7017817100ZBR

";01/07/2018;30/06/2020;Trimestrielle;8;1224,81;0;166,44
;;;TRUCK0230;302472501;RENAULT TRUCKS MARSEILLE;CTR-028873/0004;"CAVAILLON SERVICE ADMINISTRATIF_x000D_
MULTIFONCTION SHARP MX-3111USF - NS : 25081062 ";01/10/2012;30/09/2017;Trimestrielle;20;6438,05;0;414
;;;CROUS5048;18340008400012;CROUS DE MONTPELLIER;CTR-039306/0001;"LexmarK XC9245 NS 7559040001477 + Accessoires
";26/03/2018;31/03/2021;Trimestrielle;12;4172,92;27,49;412,41
;;;BRONZI4559;81104871900017;MAISON BRONZINI;CTR-032574/0001;"SHARP MX-2314NSF - NS 3504739X_x000D_
";03/09/2014;30/09/2018;Trimestrielle;16;4604,68;159,78;364
;;;;;;CTR-030736/0001;MULTIFONCTION SHARP MX-2314NSF - NS 35038561;01/07/2013;30/09/2018;Trimestrielle;21;6578,38;0;435
;;;FORPR4907;494658925;GROUPE PATRICK FOGLIA;CTR-033369/0001;"SHARP MX-C300W - NS 351069870_x000D_
";01/01/2015;31/12/2018;Trimestrielle;12;2649,65;0;220
;;;ART0531;344470927;ART ET TRADITION MEDITERRANEE;CTR-033926/0001;"SHARP MX-3140NSF - NS 58000032_x000D_
";01/07/2015;30/09/2020;Trimestrielle;21;4937,18;0;300
;;;;;;CTR-037174/0001;"SHARP MX-5050NEU NS 651026490 + Accessoires
";30/03/2017;30/06/2022;Trimestrielle;21;9236,75;12,67;570
;;;UGOSBA1974;350642070;UGOSMUT;CTR-036836/0001;"Lexmark M1140 NS 45146PLM3FN90 loyer 28€ HT Accueil 1 - 45146PLM3FN34 loyer 28€ HT Salle ORTHO - 45146PLM3F81K loyer 28€ HT Accueil 2 - 45146PLM3F80T loyer 28€ HT Secrétariat + Lexmark C2132 NS 502739945G9WC loyer 51€ HT Sce Panoramique
";06/01/2017;31/03/2022;Trimestrielle;20;2394,24;153,94;163
;;;PAINVI0814;504327842;CABINET PAINVIN;CTR-036520/0001;"SHARP MX-2640NSF - NS 6506752100 + Accessoires
";08/11/2016;07/11/2019;Trimestrielle;11;3768,4;1000;294,73
;;;CBA6203;39794481000019;CBA INFORMATIQUE LIBERALE ;CTR-037421/0001;"Module Finition Mode Brochure C5235i
";24/05/2017;30/06/2022;Trimestrielle;20;3613,4;102,73;246
;;;UGOSNI8936;35064207000022;UGOSMUT NIMES;CTR-037763/0001;"SHARP MX-3050NEU NS 7502345300 + Accessoires + Lexmark XC2132 NS 752719946KR9T + Accessoires + Lexmark XM1140 A4 NS 70157PLM1GFNB + Lexmark XM1140+ BSD NS 45147PLM3WDFP-FR-F9-FZ-FB-DN-FG-FN 
";07/07/2017;30/09/2022;Trimestrielle;20;16303,81;945,07;1011
;;;UGOSAV8936;35064207000063;UGOSMUT AVIGNON;CTR-037145/0001;"Lexmark M1140 NS 45146PLM3LLBM Loyer 28€ HT CABINET 3 - 45146PLM3LL2T Loyer 28€ HT ACCUEIL + Lexmark XM1140 NS 70156PLM1CPGP Loyer 61 € HT TIERS PAYANT
";24/03/2017;31/03/2022;Trimestrielle;20;1718,56;10,4;117
;;;UGOSNI0684;35064207000048;UGOSMUT;CTR-039121/0001;Lexmark M1140 X 2;24/01/2018;31/03/2023;Trimestrielle;20;806,45;41,69;56
;;Total LOPEZ Bernard;;;;;;;;;;1768144,7;19169,19;117733,17
;;PELLET Jean-Louis;ACRIDE5886;43332142900022;ACRIDE INDUSTRIE;CTR-036107/0001;SHARP MX-2301N - NS 05006774;01/10/2016;31/12/2021;Trimestrielle;21;2170,2;0;145
;;;ALAZAR1264;48084447100023;ALAZARD-TRAITEUR;CTR-033763/0001;"SHARP MX-C311 - NS 98002391_x000D_
";17/03/2015;30/06/2020;Trimestrielle;21;2278,25;74;150
;;;CAILX8083;533127841;SAS LES PETITS CAILLOUX;CTR-033548/0001;"SHARP MX-M363U - NS 05004490 _x000D_
";29/01/2015;30/06/2020;Trimestrielle;21;1731,47;78,53;114
;;;CHABAS2808;39304161100012;LUBRIFIANT CHABAS;CTR-037767/0001;"CANON IR C2225 Numéro de série LYE21069
";26/07/2017;31/12/2022;Trimestrielle;21;892;43,7;60
;;;CHAMBR0066;38115839300045;AGENCE CHAMBRELANT;CTR-035092/0001;"SHARP MX-B201DF - NS 58005262_x000D_
";01/01/2016;31/03/2021;Trimestrielle;21;1503,65;49;99
;;;CMB;78288594100024;CAPEA;CTR-029791/0004;Contrat Forfait Intégral - APEL ACADEMIQUE AIX MARSEILLE;01/08/2016;31/12/2021;Trimestrielle;21;9507,64;395,95;597,17
;;;;401092655;;CTR-031003/0002;Contrat Forfait Intégral - SUD HORIZON;05/08/2013;31/12/2018;Trimestrielle;21;5486,15;223,45;360,66
;;;;824199368;;CTR-021735/0004;Contrat Forfait Intégral - PROVENCE ECO ENERGIE;01/01/2016;31/03/2021;Trimestrielle;21;3000;0;197,52
;;;;52322891400017;;CTR-029792/0006;Contrat Forfait Intégral - DOMINIQUE LAFOURCADE JARDINS;10/01/2017;31/03/2020;Trimestrielle;12;6878,16;611,79;679,77
;;;;502225949;;CTR-036519/0004;Contrat Forfait Intégral - PRIMEURS DU SUD EST EXPEDITION;04/11/2016;31/03/2022;Trimestrielle;21;1248;52,94;83,98
;;;;45384892100012;;CTR-035952/0002;"Contrat Forfait Intégral - SECURITE TIR EQUIPEMENT_x000D_
_x000D_
";22/06/2016;30/09/2021;Trimestrielle;21;6684;42,15;426,17
;;;;418130746;;CTR-036152/0004;Contrat Forfait Intégral - EAUX & PISCINES;11/08/2016;31/12/2021;Trimestrielle;21;6793;240,1;433,12
;;;;433805421;;CTR-037254/0004;Contrat Forfait Intégral - SARL PHILIPPE GARCIA;05/04/2017;30/09/2022;Trimestrielle;21;2768;174,24;182,25
;;;;325293140;;CTR-036721/0004;Contrat Forfait Intégral - GARAGE VIDAL;09/12/2016;31/03/2022;Trimestrielle;21;2628;43,26;173,03
;;;;401945423;;CTR-018177/0007;Contrat Forfait Intégral - CABINET LAFOURCADE;01/04/2017;30/06/2022;Trimestrielle;21;32942,85;0;1896,85
;;;;42833956800019;;CTR-028794/0004;Contrat Forfait Intégral - SCI CARPON;01/01/2018;31/03/2023;Trimestrielle;21;947;0;63,72
;;;;34509650700016;;CTR-034412/0005;Contrat Forfait Intégral - SCEA REVENY;27/04/2017;30/09/2022;Trimestrielle;21;4800;218,61;306,05
;;;;497847517;;CTR-035160/0006;Contrat Forfait Intégral - MAS NEUF DES SANSOUÏRES;01/04/2017;30/06/2022;Trimestrielle;21;6483;0;413,36
;;;;Pas de Siret;;CTR-020962/0005;Contrat Forfait Intégral - MONASTERE DE LA VISITATION;14/09/2017;31/12/2022;Trimestrielle;21;1534;18,66;101
;;;;41125508600034;;CTR-032991/0007;"Contrat Forfait Intégral - MAITRE PIERRE JULIEN 
";24/01/2018;31/03/2021;Trimestrielle;12;19657,5;1415,25;1901,08
;;;;50742354900017;;CTR-031324/0005;Contrat Forfait Intégral - L'ENCRE Y EST;01/04/2018;30/06/2023;Trimestrielle;21;3012;0;198,31
;;;;48881562200011;;CTR-030924/0007;Contrat Forfait Intégral  - AMT formations ;01/04/2018;30/06/2023;Trimestrielle;21;3752;0;247,03
;;;;37967419500019;;CTR-016124/0008;Contrat Forfait Intégral - DISTRIBUTION PROVENCALE;01/04/2018;30/06/2023;Trimestrielle;21;14186,23;0;875,43
;;;DELTA3545;45385737700015;AGENCE DU DELTA;CTR-034454/0001;"SHARP MX-C300W - NS 530121640_x000D_
";06/08/2015;31/12/2020;Trimestrielle;21;3645;195,09;240
;;;ENVIRO4957;438598872;ENVIROEARTH;CTR-037847/0001;"Lexmark XC4140 NS 75287190115MZ
";01/10/2017;30/09/2020;Trimestrielle;12;1521;0;155
;;;IKD9439;44135315800013;SARL IKD NETWORK;CTR-035438/0001;"SHARP MULTIFONCTION MX-2314NSF - NS 4500675700_x000D_
";01/04/2016;30/06/2021;Trimestrielle;21;3914,45;0;260
;;;KOSAN7600;31436062900013;KOSAN CRISPLANT FRANCE;CTR-036301/0001;"CANON IPF 815 NS AAKK9087 + Scanner M40 NS - K6028086 + Accessoires
";01/10/2016;31/12/2021;Trimestrielle;21;23415,94;0;1398
;;;LABEL0345;45352301100022;LABEL IMAGE;CTR-034511/0001;COPIEUR CANON IPF 6400 - NS AAHE1559;31/08/2015;31/12/2020;Trimestrielle;21;3554,07;127,85;234
;;;MATI2026;53496275800015;MATI INDUSTRIES ET TECHNOLOGIE;CTR-033762/0001;"CANON IR C5030i - NS GNM19729_x000D_
";01/07/2015;30/06/2020;Trimestrielle;20;3366,96;49;234
;;;ROSENZ5070;537658122;ELODIE ROSENZWEIG;CTR-035617/0001;"CANON IRC5035i - NS ED200500_x000D_
";04/04/2016;30/09/2021;Trimestrielle;21;2961,72;188,57;195
;;;SANSOU0089;497847517;MAS NEUF DES SANSOUÏRES;CTR-039214/0001;"Solution ZEENDOC Flux 500Mo 
";25/01/2018;31/03/2021;Trimestrielle;12;2436,31;182,06;248,26
;;;SCMSK2936;44444140600014;SCM SK2;CTR-032417/0001;LEXMARK XM1140 - NS 701544LMODGWD;25/07/2014;31/12/2019;Trimestrielle;21;891,7;93,35;60
;;;TABACM5551;532228749;TABAC PRESSE LOTO;CTR-036104/0001;SHARP MX-2010 - NS 15074942;29/07/2016;31/12/2021;Trimestrielle;21;5615;298,04;358
;;;TRAITA1720;43749770400019;TRAITAGRI;CTR-036764/0001;"Lexmark XC2130 NS 752736946F6FP
";22/12/2016;31/03/2022;Trimestrielle;21;1337,49;9,78;90
;;;VITEMB7322;421366121;VITEMBAL ;CTR-036268/0001;"SHAR MX-3111USF NS - 25081112 + MX-B201 NS -480069470 + Accessoires
";07/09/2016;31/12/2021;Trimestrielle;21;6540;108,78;417
;;;WOUTER0024;42322668700022;WOUTERS FRANCE ;CTR-034354/0001;IR ADVANCE C2225 - NS LYE1002;01/10/2015;31/12/2020;Trimestrielle;21;8766,71;49;549
;;;CITINN6071;529399511;CITINNOV;CTR-039707/0001;"Zeendoc Flux Bronze 3G0
";18/05/2018;30/06/2021;Trimestrielle;12;8420,66;446,45;822
;;;WEDEAL0000;830173175;WE DEAL;CTR-037660/0001;"CANON IR ADV C350i NS WSJ09047 + Accessoires
";12/07/2017;31/12/2022;Trimestrielle;21;3721;182,69;207,5
;;;SUDCO0000;41329638500029;SUDCO;CTR-037659/0001;"CANON IR C5540i NS WHN05661+ Accessoires + CANON IR 4525I NS UMX03205 + Accessoires
";12/07/2017;31/12/2022;Trimestrielle;21;7442,24;365,38;415
;;;LAPEYR6985;445119274;SARL CYRIL LAPEYRE;CTR-037646/0001;TRACEUR CANON IFP 770 - NS BAFK5214;19/07/2017;31/12/2022;Trimestrielle;21;4191,5;214,76;267
;;;PARTNE2667;418282240;PARTNERS DESIGN DEVELOPPEMENT;CTR-038196/0001;"SHARP MX-2614NSF NS 75082312
";10/10/2017;31/03/2023;Trimestrielle;21;3645;216,52;240
;;Total PELLET Jean-Louis;;;;;;;;;;236269,85;6408,95;16094,26
;;PORTE Fabrice;AFGA3674;34818297300027;CERFRANCE AFGA;CTR-036496/0001;"CANON IR C2225i - NS LYE10934
";18/10/2016;31/03/2022;Trimestrielle;21;5263,34;242,12;297
;;;;;;CTR-035451/0001;"CANON IR C5235 X 4 + LBP6780 + C5250i X3 + UNIFLOW + 4225CI X 3 + 4245I X 4 +Planet Press + C7270 + Fax Bis_x000D_
";01/04/2016;30/06/2021;Trimestrielle;21;256131,65;0;14453
;;;;;;CTR-035451/0002;"Ligne FaxBis + Portabilité
";01/07/2017;30/06/2021;Trimestrielle;16;612;0;46
;;;;;;CTR-039431/0001;"CANON IRA C5535i ns XVF03451 + Accessoires
";17/04/2018;30/09/2023;Trimestrielle;21;8787,66;408,68;495,87
;;;ASPROV4370;49878845400011;AS PROVENCE;CTR-035311/0001;"SHARP MX-2614NSF - NS 25093639_x000D_
";01/02/2016;30/06/2021;Trimestrielle;21;4658,1;244,82;297
;;;CAAGIS1010;517585154;CREDIT AGRICOLE ASSURANCES ;CTR-034959/0001;"CANON LBP7780Cx - NS MMKA044655 - MMKA044650 - MMKA044670 - _x000D_
SERVICE COMPTA_x000D_
";16/11/2015;31/12/2018;Trimestrielle;12;1661,64;134,5;171
;;;;;;CTR-035941/0001;"CANON IR 4235i - NS QXL06571 + Accessoires_x000D_
";10/06/2016;31/12/2019;Trimestrielle;14;6877,73;130,85;567
;;;CAMPBE6700;39112837800026;CONTINENTAL FOODS FRANCE;CTR-038202/0001;"CANON IR C3525i NS WSH12343 + Accessoires
";01/10/2017;31/12/2022;Trimestrielle;21;6193,34;0;349,48
;;;CMB;22840001600017;CAPEA;CTR-034143/0001;"Marché 2014-005 Commande 2015-004 _x000D_
FPE";09/06/2015;08/06/2019;Trimestrielle;16;3138,91;0;220,1
;;;;22840001600017;;CTR-034464/0001;CG84 - Commande N° 2015-051 - FPE;03/08/2015;02/08/2019;Trimestrielle;16;6989,18;0;490,08
;;;;21840037200015;;CTR-034965/0001;"MAIRIE DE CHATEAUNEUF DU PAPE - FPE.- SHARP MX-3640NSF - NS 5510409600 - _x000D_
5510244600 - 5510380600 - 5510381600 - 5510338600._x000D_
SHARP MX-2314NSF - NS 4500520700. _x000D_
";29/10/2015;28/10/2019;Trimestrielle;16;20505,93;0;1511
;;;;43356255000015;;CTR-035325/0001;"HALECO - FPE - CANON IR 1435I - NS RZH01707_x000D_
CANON IR 1435IF - NS RZR02425_x000D_
";01/02/2016;31/03/2020;Trimestrielle;16;1421,84;67,85;102,9
;;;;62262091200015;;CTR-035327/0001;"HALADJIAN - FPE- CANON IR ADV4235i - QXL07967 - QXL07604 - QXL07460_x000D_
CANON IR ADV 400I dont 3 fax -QLC23377 - QLC23378 - QLC23316 - QLC23372 _x000D_
CANON IR 1435i dont 5 FAX - RZR02418 -RZH02179 -RZR02423 -RZH02531-RZR05132 -RZR02421 -RZH01703 -RZH0261";01/02/2016;31/03/2020;Trimestrielle;16;21425,85;1022,38;1550,61
;;;;22840001600017;;CTR-035545/0001;CG84 - Marché 2014-005 Commande P16/1015/0001472 - FPE;16/03/2016;15/03/2020;Trimestrielle;16;3494,59;0;245,04
;;;;21840007500014;;CTR-035577/0001;"MARCHE MAIRIE AVIGNON - FPE_x000D_
Affaire n°15S0050 LOC ET MAINTENANCE_x000D_
Loyer HT : 3 989.88€ _x000D_
OCECW700, numéro de série : 498000654_x000D_
Scanner , numéro de série : 350211051_x000D_
Plieuse, numéro de série : 4311001298_x000D_
";21/03/2016;20/03/2020;Trimestrielle;16;55131,85;0;3989,88
;;;;21840007500014;;CTR-035577/0004;"MARCHE MAIRIE AVIGNON - FPE_x000D_
Affaire n°15S0050 LOC ET MAINTENANCE_x000D_
Loyer HT : 292.50€ HT_x000D_
Option 06 rouleaux_x000D__x000D_
_x000D_
_x000D_
";21/03/2016;20/03/2020;Trimestrielle;16;4041,67;0;292,5
;;;;22840001600017;;CTR-036280/0001;"CG84 - Marché 2014-005 Commande P16/1015/006725 - FPE
";08/09/2016;07/09/2020;Trimestrielle;16;3138,91;0;220,1
;;;;22840001600017;;CTR-033208/0001;CG84 Commande 2014-011    FPE;25/11/2014;24/11/2018;Trimestrielle;16;3494,59;0;245,04
;;;;27840002300026;;CTR-036477/0007;"AO MISTRAL HABITAT - FPE - CANON C1325IF NS RME20808 - RME20845
";01/10/2017;30/09/2019;Trimestrielle;8;2413,72;0;328
;;;;22840001600017;;CTR-032451/0003;"Marché CG84 2014-005 Commande 2014-0010_x000D_
MX-3140NSF - NS 48003111    FPE";01/09/2014;31/08/2018;Trimestrielle;16;3138,91;0;220,1
;;;;268400264;;CTR-033152/0001;"LOCATION ET MAINTENANCE DU PARC D'IMPRESSION DU CENTRE HOSPITALIER D'ORANGE - FPE_x000D_
";01/10/2014;30/09/2019;Trimestrielle;20;158943,59;0;9461,15
;;;;44178110100023;;CTR-019919/0006;"Contrat Forfait Intégral - PROV'IMMO
";01/04/2015;30/06/2020;Trimestrielle;21;6069,64;0;387
;;;;22840001600017;;CTR-032451/0001;"Marché 2014-005 Commande 2014-0009_x000D_
MX-3140NSF - NS 48003817   FPE_x000D_
";01/09/2014;31/08/2018;Trimestrielle;16;3221,91;0;225,92
;;;;26840032200015;;CTR-034020/0001;CH BOLLENE - MARCHE CH ORANGE - RFE;01/04/2015;30/09/2019;Trimestrielle;18;13007,71;0;846,53
;;;;268400264;;CTR-033152/0002;"ADJONCTION MARCHE CENTRE HOSPITALIER D'ORANGE - FPE_x000D_
SHARP MX-3140NSF - NS 580069480_x000D_
SHARP MX-5141NSF - NS 650012520_x000D_
SHARP MX-M465NSF - NS 650164910";01/04/2016;30/09/2019;Trimestrielle;14;17583,93;0;1424,14
;;;;27840002300026;;CTR-036477/0003;MARCHE MISTRAL HABITAT - FPE ;01/10/2016;30/09/2019;Trimestrielle;12;2622,54;0;242,15
;;;;27840002300026;;CTR-036477/0005;"MARCHE MISTRAL HABITAT - FPE - CANON IR C3325i NS QTS27614 + Accessoires
";01/10/2016;30/09/2019;Trimestrielle;12;2622,54;0;242,15
;;;;27840002300026;;CTR-036477/0001;MARCHE MISTRAL HABITAT - FPE ;01/10/2016;30/09/2019;Trimestrielle;12;58840,05;0;5433,03
;;;;62262091200015;;CTR-037290/0001;"HALADJIAN CLASSIQUE - CANON IR 1435i + CANON 1435IF
";04/04/2017;30/06/2021;Trimestrielle;16;1421,84;99,51;102,9
;;;;62262091200015;;CTR-037293/0001;"HALADJIAN - CANON IR C5535i + Accessoires +  CANON IR C3525 + Accessoires
";12/04/2017;30/09/2022;Trimestrielle;21;12882,85;698,9;795
;;;;30520623700029;;CTR-009778/0008;Contrat Forfait Intégral - BENEDETTI SA;28/04/2017;30/09/2022;Trimestrielle;21;7509,97;325,94;463,44
;;;;418101473;;CTR-029797/0008;Contrat Forfait Intégral - SCP SURDON CAVAILLES VERBASCO;01/10/2017;31/12/2022;Trimestrielle;21;34090;0;1962,9
;;;;278400015;;CTR-039211/0001;"contrat forfait intégral  - Marché 2017.082 GRAND AVIGNON RESIDENCE   ’Location et Maintenance de 9 photocopieurs et Imprimantes Multifonctions - FPE
";05/02/2018;04/02/2021;Trimestrielle;12;82826,23;0;7610,98
;;;;62262091200015;;CTR-038300/0001;"HALADJIAN - CANON IR ADV C3525I NS WSH09148 + Accessoires
";10/11/2017;31/03/2023;Trimestrielle;21;4487,73;145,83;258
;;;FOODS4800;810874347;CONTINENTAL FOODS PRODUCTION FRANCE;CTR-038200/0001;"CANON IR C5535I + CANON IR C3525I x 6 + CANON IR 4525i + CANON IR 400I + CANON IR 1435i x 3 
";01/10/2017;31/12/2022;Trimestrielle;21;61774,21;0;3485,82
;;;HALADJ3939;62262091200015;HALADJIAN FRERES SA;CTR-029284/0001;"LEXMARK XS364DN - NS 350DP06_x000D_
";09/10/2012;31/03/2018;Trimestrielle;21;518,96;32,87;36
;;;SITASU0216;712620715;SITA SUD;CTR-029503/0001;COPIEUR SHARP MX-M282N - NS : 25005068;01/01/2013;31/03/2018;Trimestrielle;21;4329,78;0;288
;;;SPAR7650;485095079;SPAR;CTR-036424/0001;"Scanner CANON DR-M160 II NS GX434890 + Zeendoc Flux 1,5Go + Connecteur ewinfic
";07/10/2016;31/12/2021;Trimestrielle;20;9421,88;563,67;603
;;;SURDON2318;418101473;SCP SURDON CAVAILLES VERBASCO;CTR-039387/0001;"CANON IR C5535i NS WHR29094 + Accessoires
";06/04/2018;30/09/2023;Trimestrielle;21;5034,45;303,36;321
;;Total PORTE Fabrice;;;;;;;;;;905731,22;4421,28;60280,81
;Total Capea Avignon;;;;;;;;;;;4710260,1;53372,51;309018,04
